Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1189,16.25,0,0.025789175,6,166.9474,7,2002,1,1,1,2863.6058
1097,9.5,1,0.022054553,10,195.4452,6,2004,2,1,1,4502.1396
1342,19.25,0,0.180820798,9,35.9558,0,1998,1,2,0,67.9116
214,17.75,0,0.030410273,4,256.0672,1,1987,0,2,1,2045.3376
53,16.2,0,0.01940856,14,156.7972,9,1999,1,0,1,3739.1328
1451,18.2,0,0.16334971,8,45.1086,9,1999,1,0,1,669.129
811,15.5,1,0.100922503,6,199.0768,9,1999,1,0,1,2759.0752
1,19.35,1,0.039920687,14,163.3868,6,2004,2,1,1,3439.5228
757,12.857645184136183,1,0.035853059,5,176.8712,5,1985,1,2,3,3691.1952
231,11.5,1,0.020686161,4,85.054,2,2007,1,1,1,1731.08
1062,12.85,0,0.022649893,6,179.3318,7,2002,1,1,1,1263.0226
941,12.857645184136183,0,0.082150145,4,192.9504,5,1985,1,2,3,7478.2656
1424,6.775,0,0.105225964,9,84.225,6,2004,2,1,1,3162.55
119,8.01,0,0.117580062,7,36.6532,0,1998,1,2,0,71.9064
687,10.195,1,0.045073782,6,119.1808,7,2002,1,1,1,468.7232
113,16.6,0,0.136286138,7,171.4422,3,2009,1,2,2,2241.7486
1034,9.6,0,0.0,13,244.817,6,2004,2,1,1,4374.306
253,12.857645184136183,1,0.014497036,4,150.8708,4,1985,2,0,0,150.4708
716,15.6,0,0.143396175,2,128.0994,7,2002,1,1,1,2184.4898
882,7.5,0,0.05074138,3,123.2072,6,2004,2,1,1,1837.608
848,5.175,1,0.029555773,13,105.9622,7,2002,1,1,1,1693.7952
214,17.75,0,0.03048292,4,257.2672,9,1999,1,0,1,3068.0064
1116,18.35,1,0.092226754,5,184.4266,8,1997,2,0,1,3504.1054
618,11.8,1,0.014075334,5,176.8344,1,1987,0,2,1,3568.688
504,11.1,0,0.044823438,13,174.2054,8,1997,2,0,1,1926.1594
1162,16.1,0,0.034501016,6,255.7356,2,2007,1,1,1,2543.356
1445,12.857645184136183,0,0.031024168,8,210.5244,4,1985,2,0,0,1482.0708
793,6.46,1,0.04923932,6,144.4102,9,1999,1,0,1,4374.306
663,11.6,1,0.009761175,13,226.9404,6,2004,2,1,1,1800.3232
34,19.1,0,0.045378573,4,42.4138,9,1999,1,0,1,243.6828
1150,8.975,1,0.01516265,3,101.899,0,1998,1,2,0,103.199
2,8.27,1,0.128126825,14,183.6924,9,1999,1,0,1,1295.6468
743,7.35,1,0.014353174,6,242.6512,1,1987,0,2,1,969.4048
81,9.5,0,0.085075063,7,189.0872,6,2004,2,1,1,3970.8312
825,6.465,0,0.208397715,3,265.2884,0,1998,1,2,0,264.9884
1140,12.857645184136183,1,0.011953902,3,164.5184,5,1985,1,2,3,2807.0128
722,12.857645184136183,1,0.043810028,0,181.395,5,1985,1,2,3,6042.135
1454,20.25,0,0.02594835,9,180.0976,6,2004,2,1,1,3440.8544
1363,20.5,0,0.032819637,9,38.9822,9,1999,1,0,1,982.055
0,11.6,0,0.040911824,14,142.3154,1,1987,0,2,1,2552.6772
1205,19.6,0,0.041459372,9,89.6514,3,2009,1,2,2,1239.7196
888,7.81,1,0.034043503,13,168.7158,9,1999,1,0,1,2673.8528
859,9.285,1,0.020989132,13,158.6578,1,1987,0,2,1,2406.867
1046,18.0,0,0.008589133,0,81.0618,2,2007,1,1,1,1450.1124
661,17.7,1,0.016630303,6,48.1034,7,2002,1,1,1,534.6374
996,16.75,0,0.045047439,13,186.4556,8,1997,2,0,1,3942.8676
1409,15.7,0,0.055990291,8,153.2024,8,1997,2,0,1,3795.06
27,12.857645184136183,0,0.072928316,14,94.412,5,1985,1,2,3,1304.968
260,16.6,0,0.084176826,3,118.0124,0,1998,1,2,0,592.562
541,7.445,0,0.037708542,0,74.7354,7,2002,1,1,1,1128.531
784,20.0,1,0.028238317,6,46.3744,3,2009,1,2,2,181.0976
365,9.3,0,0.11178154,5,182.3292,0,1998,1,2,0,182.4292
80,6.135,0,0.115010655,14,161.5236,6,2004,2,1,1,1288.9888
131,8.85,1,0.112893431,14,123.3388,7,2002,1,1,1,2972.1312
1093,6.55,1,0.034658144,1,155.8288,9,1999,1,0,1,1099.9016
84,11.8,0,0.11397026,14,185.1924,2,2007,1,1,1,2591.2936
67,12.857645184136183,0,0.0,4,75.967,4,1985,2,0,0,153.134
165,19.7,0,0.053439522,6,55.093,3,2009,1,2,2,1018.674
795,7.31,0,0.026788937,13,110.357,8,1997,2,0,1,3185.853
801,12.857645184136183,1,0.00799548,5,78.5618,5,1985,1,2,3,2255.7304
836,8.18,1,0.082529704,5,56.9588,9,1999,1,0,1,744.3644
909,13.65,0,0.0,1,229.4668,9,1999,1,0,1,4837.7028
1439,15.2,0,0.097258937,8,114.8492,7,2002,1,1,1,1506.0396
1020,12.857645184136183,1,0.041273391,5,91.6804,5,1985,1,2,3,3858.9768
55,5.78,0,0.014584584,14,146.3102,7,2002,1,1,1,2187.153
128,15.75,0,0.140821917,7,252.9382,9,1999,1,0,1,2775.7202
880,7.72,1,0.074669288,1,76.3986,1,1987,0,2,1,1402.1748
1436,18.2,0,0.058799705,9,220.7456,2,2007,1,1,1,4420.912
821,12.857645184136183,1,0.080695806,13,51.3008,5,1985,1,2,3,759.012
344,5.19,0,0.042707323,5,197.811,7,2002,1,1,1,2946.165
1041,20.1,1,0.022425236,6,226.3036,8,1997,2,0,1,910.8144
1422,11.3,0,0.06705851,9,194.0478,2,2007,1,1,1,3293.7126
1283,5.82,0,0.080804019,9,171.479,7,2002,1,1,1,4074.696
567,16.0,0,0.040938155,13,141.1496,6,2004,2,1,1,4516.7872
741,20.35,1,0.150947728,10,81.0276,1,1987,0,2,1,1868.2348
12,13.0,1,0.044976367,14,176.2054,6,2004,2,1,1,1225.7378
1429,11.1,0,0.033176087,9,120.1124,7,2002,1,1,1,1896.1984
1413,5.32,0,0.0,8,101.7674,1,1987,0,2,1,1120.5414
1080,20.35,1,0.014909465,6,232.3958,2,2007,1,1,1,6076.0908
1214,19.1,0,0.177992139,9,173.1422,3,2009,1,2,2,2931.5174
866,5.82,1,0.077319079,6,255.433,8,1997,2,0,1,4357.661
17,13.85,0,0.030795085,14,143.3154,8,1997,2,0,1,1985.4156
1263,17.1,0,0.067290244,9,114.586,7,2002,1,1,1,1584.604
414,17.1,1,0.046808553,3,141.4838,8,1997,2,0,1,1404.838
1189,16.25,0,0.025715562,6,168.1474,1,1987,0,2,1,1516.0266
334,12.15,0,0.062541552,15,34.3532,3,2009,1,2,2,251.6724
991,12.857645184136183,0,0.178192864,4,54.9956,4,1985,2,0,0,109.1912
993,17.35,0,0.014691784,5,74.1038,8,1997,2,0,1,960.7494
833,6.885,1,0.140292495,3,108.5228,7,2002,1,1,1,1989.4104
810,12.15,1,0.132058566,6,187.5872,6,2004,2,1,1,4349.0056
464,10.65,1,0.085482761,13,231.4668,3,2009,1,2,2,3225.1352
1298,19.6,0,0.047857804,8,45.077,1,1987,0,2,1,605.878
810,12.15,1,0.132351411,6,190.3872,7,2002,1,1,1,2836.308
983,16.1,1,0.159728395,5,34.3558,8,1997,2,0,1,271.6464
1357,19.6,0,0.025429614,8,151.7024,2,2007,1,1,1,2884.2456
1317,12.857645184136183,0,0.017556795,8,129.9626,5,1985,1,2,3,3410.2276
822,19.2,0,0.058893461,13,178.9318,0,1998,1,2,0,180.4318
1109,11.8,0,0.12150063,6,46.8402,1,1987,0,2,1,413.4618
454,15.1,0,0.052339069,10,242.7512,8,1997,2,0,1,4119.9704
1066,18.2,1,0.026064486,0,241.8196,8,1997,2,0,1,4097.3332
687,10.195,1,0.045165796,6,118.4808,3,2009,1,2,2,1640.5312
1180,8.185,0,0.038948125,6,115.4808,2,2007,1,1,1,820.2656
