,Item_Identifier,Item_Outlet_Sales
0,FDW58,1467.338
1,FDW14,1389.7695
2,NCN55,576.86487
3,FDQ58,2512.4597
4,FDY38,6069.234
5,FDH56,1891.9683
6,FDL48,572.1953
7,FDC48,2218.036
8,FDN33,1518.0414
9,FDA36,3136.1843
10,FDT44,1912.2068
11,FDQ56,1318.094
12,NCC54,576.86487
13,FDU11,2153.2712
14,DRL59,826.7079
15,FDM24,2477.3381
16,FDI57,3082.4182
17,DRC12,2828.4827
18,NCM42,2708.9263
19,FDA46,488.5366
20,FDA31,2847.2544
21,NCJ31,4008.7222
22,FDG52,783.07275
23,NCL19,365.2142
24,FDS10,3077.6606
25,FDX22,604.6738
26,NCF19,860.2368
27,NCE06,2615.337
28,DRC27,3907.527
29,FDE21,2017.4932
30,NCR42,29.617283
31,FDX51,2818.5032
32,NCR06,455.89133
33,FDU31,5518.9927
34,FDU59,2630.0496
35,FDR03,5163.1064
36,FDS49,2212.853
37,FDD48,318.87253
38,NCF18,3173.6758
39,NCD43,2667.6885
40,NCD54,1779.6644
41,FDY19,323.05405
42,NCY54,2809.342
43,NCL19,2206.0103
44,FDP23,527.4103
45,FDC26,1825.2434
46,FDR14,10.384617
47,NCS41,3295.3726
48,FDF41,4040.579
49,FDU34,2016.8427
50,DRH11,900.6763
51,FDM03,1665.7207
52,FDS31,3052.3188
53,FDJ20,1888.755
54,FDV44,5211.546
55,FDG02,3113.0134
56,FDA09,2994.0713
57,FDT04,655.0946
58,FDL58,696.9658
59,FDE52,1351.8401
60,FDW12,2552.0393
61,FDL51,2987.0583
62,NCY42,3346.4329
63,FDR07,1063.901
64,FDN40,2385.748
65,FDB35,2465.1123
66,FDA22,2643.388
67,NCL06,3993.812
68,FDI35,3007.8188
69,NCW42,3678.4746
70,NCX06,2993.969
71,FDC37,2675.3093
72,FDZ14,1804.7903
73,DRG49,3951.088
74,NCG06,3958.3323
75,DRC36,2858.9539
76,FDV21,309.40976
77,FDB53,2467.0405
78,DRP47,653.91614
79,FDA14,2501.8442
80,DRC24,2591.187
81,FDW21,1345.7902
82,NCH29,1495.394
83,FDU58,3175.7842
84,FDY27,3035.8584
85,FDV56,1775.714
86,FDT59,3967.1807
87,FDB23,3583.2678
88,FDR49,770.62964
89,FDB03,556.5442
90,FDN39,2579.429
91,FDX02,5801.972
92,FDQ16,2685.6748
93,FDU35,1392.6917
94,NCT29,2064.4146
95,FDZ27,760.47974
96,FDN57,2158.0793
97,FDA03,2202.6814
98,FDZ36,3033.3987
99,NCU05,1277.9225
100,FDT39,2151.1475
101,FDK60,1560.2715
102,FDZ25,2807.3083
103,FDG12,2011.6296
104,DRB01,493.33505
105,NCC43,6007.124
106,FDX13,714.64966
107,FDM22,864.58545
108,FDJ03,1367.081
109,FDU14,3686.172
110,FDB33,371.6013
111,FDP27,3158.8506
112,FDO38,274.30136
113,FDE28,6130.5186
114,FDO27,1557.7949
115,DRL23,2667.6885
116,FDS28,931.5381
117,FDX24,1454.2552
118,FDZ02,1603.4321
119,FDL46,1649.8787
120,FDS60,4770.194
121,NCO06,645.6283
122,FDO16,1393.5559
123,FDC60,1364.4271
124,FDA48,3392.4023
125,FDZ36,5212.1353
126,FDK27,1870.1033
127,FDW23,450.01828
128,FDM14,1435.9745
129,FDM14,1671.367
130,FDW60,2553.0698
131,FDE21,1914.7969
132,NCM42,1756.6774
133,FDY59,284.31967
134,DRI49,1286.2899
135,FDT28,331.75912
136,FDQ22,483.36972
137,FDR60,1221.3772
138,FDC50,336.99692
139,FDV24,2443.9954
140,DRF48,485.10568
141,FDQ47,663.46936
142,DRN36,1559.1913
143,NCY06,2152.8523
144,FDE52,1469.8473
145,NCB54,1982.1274
146,NCF31,2542.7441
147,FDJ08,5175.085
148,NCC07,1644.9523
149,NCD19,1488.5651
150,FDL46,1844.9109
151,FDM20,3842.13
152,NCI06,432.61032
153,DRM11,4188.4907
154,NCH07,2372.499
155,FDS23,2168.642
156,FDO49,565.14575
157,FDS35,1088.1583
158,DRK39,1424.196
159,DRI39,943.57764
160,FDV04,2624.6807
161,NCN14,3216.965
162,FDH08,3906.036
163,FDS20,3153.8396
164,FDV40,1174.2452
165,FDZ48,320.55063
166,FDS24,2367.2712
167,FDK44,2904.8633
168,FDS48,2426.1538
169,FDK26,472.53647
170,FDD23,3046.7373
171,NCH54,2696.7188
172,NCP14,332.59238
173,FDM60,38.510105
174,FDV24,2451.0698
175,FDH08,3373.2825
176,FDS12,3347.6775
177,FDR39,4710.15
178,FDP12,1044.9182
179,DRF60,6022.959
180,FDC09,1777.7122
181,FDF50,3009.539
182,FDG28,4192.94
183,NCE19,928.7273
184,NCM53,320.55063
185,NCN18,1871.4276
186,FDF32,3362.5457
187,FDF11,4055.7642
188,DRI59,3769.2798
189,NCG54,2780.4624
190,FDM44,1665.7267
191,FDT57,3562.0112
192,FDV24,2436.3572
193,FDI50,682.0995
194,FDS09,836.25476
195,NCC31,3776.3237
196,FDQ07,564.1699
197,FDC22,3197.2612
198,FDZ56,2744.8635
199,FDZ40,150.11398
200,FDS46,3053.5527
201,DRD24,2066.5964
202,FDV45,3264.9287
203,FDL26,2432.788
204,FDA56,1768.3351
205,FDN27,1724.0667
206,FDM20,3969.7092
207,FDO16,1344.0153
208,FDL03,3318.3994
209,FDE58,1861.5786
210,FDI02,3018.871
211,NCC55,50.224705
212,FDR03,3125.83
213,FDB14,1482.8324
214,FDR45,3920.3838
215,NCN07,2165.7239
216,FDM51,359.40744
217,FDT52,6125.1357
218,FDL26,2454.2722
219,NCZ42,3967.1226
220,DRI47,382.5571
221,FDW40,2171.7395
222,FDN34,2754.7424
223,FDS01,2973.7024
224,NCG55,1851.007
225,FDC11,1353.4518
226,FDX35,3370.6113
227,NCB06,2562.4358
228,FDR09,704.9541
229,FDC53,1563.8523
230,FDY45,4209.854
231,FDA22,411.22507
232,FDE02,1552.4481
233,FDW21,1547.4862
234,FDV34,1109.7046
235,FDS59,1698.3474
236,NCW17,2122.689
237,NCK54,1909.1566
238,FDG17,690.9453
239,FDG35,4168.1533
240,FDD08,23.571873
241,NCO07,3787.3188
242,FDJ10,350.4255
243,FDW36,1685.1598
244,FDW21,352.60324
